CJIS_SPN,CJIS_CASE_NUMBER,CASE_DEFENDANT_ID,CHARGE_ID,OLD_STATUS,OLD_LOCATION,OLD_BOND_AMT
34745,2020CF1601A1,806750,1107419,,,
107126,2025CT717A2,879174,1221982,,,
109063,2026MM1052A1,895919,1246309,,,
114703,2026CF2219A1,899228,1251671,,,
129933,2015CF3330A1,709475,964830,,,
158759,2004CF3032A1,393110,530785,,,
195077,2025CF2302A1,883716,1229066,,,
195946,2017MM2505A1,751252,1025120,,,
202372,2025CF1913A1,881983,1226550,,,
209161,2025CF3339A1,889686,1235514,,,
222014,2026CF1480A2,895793,1246026,,,
230738,2024CF3251A1,873309,1213254,,,
250602,2017CF2025A1,747358,1019262,,,
257463,2026CF1832A1,897278,1248297,,,
260219,2023CF372A1,846737,1170987,,,
260219,2023CF372A2,846737,1170988,,,
271328,2024CF1605A1,867130,1201969,,,
273256,2023CF1789A1,852872,1180216,,,
277270,2026MM1625A1,899391,1251936,,,
280750,2026CF152A1,890875,1237566,,,
281826,2026CF1579A1,896082,1246646,,,
281826,2026CF1579A2,896082,1246647,,,
281826,2026CF1792A1,897021,1247823,,,
281826,2026CF1792A2,897021,1247826,,,
281826,2026CF1792A3,897021,1247825,,,
281826,2026CF1792A4,897021,1247828,,,
281826,2026CF1792A5,897021,1247824,,,
281826,2026CF1792A6,897021,1247827,,,
