CJIS_SPN,CJIS_CASE_NUMBER,CASE_DEFENDANT_ID,CHARGE_ID,OLD_STATUS,OLD_LOCATION,OLD_BOND_AMT
176765,2009CF769A1,515605,701571,,,
95526,2010CF183A2,535717,732100,,,
233813,2013CF3694B2,653125,889920,,,
156089,2019CF3418A1,794254,1090468,,,
266127,2021CF963A4,818424,1128658,,,
249469,2022CF1723A2,837163,1156058,,,
261226,2022CF2314A3,839282,1159332,,,
163850,2022CF2904A2,841454,1162880,,,
271202,2023CF313A4,846498,1171784,,,
271076,2023CF189C19,850208,1176148,,,
271076,2023CF189C49,850208,1176227,,,
201666,2023CF1256A1,850537,1176851,,,
226823,2023CF3375A2,860012,1190740,,,
233947,2024CF55A1,861169,1192661,,,
274918,2024CF162A1,861627,1193338,,,
265360,2024CF224A3,861868,1193708,,,
275318,2024CF687A5,863734,1196532,,,
192080,2024CF1270A2,866004,1199978,,,
184237,2024CF1286A6,866049,1200104,,,
269454,2024CF649B1,866364,1200716,,,
270565,2024CF1524A2,866836,1201478,,,
270565,2024CF1524A4,866836,1201480,,,
266641,2024HH512A1,867441,1202476,,,
261795,2024CF1928A3,868255,1203758,,,
276314,2024CF1949A2,868379,1203936,,,
259222,2024CF2062A2,868815,1205063,,,
276314,2024CF1949A1,868379,1205555,,,
197593,2024CF2253A1,869367,1205987,,,
276561,2024CF2303A1,869547,1206280,,,
250098,2024CF2503A1,870256,1207379,,,
276797,2024CF2606A2,870710,1208030,,,
259222,2024CF2792A1,871515,1209278,,,
205279,2024CF2825A1,871644,1209491,,,
277053,2024CF2838A3,871695,1209557,,,
262515,2024CF2913A3,871996,1209993,,,
277234,2024CF2958B2,872658,1211097,,,
245790,2024CF3176A1,872942,1211550,,,
222105,2024CF1286G25,873652,1212819,,,
204378,2024CF2978A3,872191,1212940,,,
125241,2024CF3570A1,874532,1214285,,,
12002,2024CF3583A1,874574,1214339,,,
130567,2025CF64A2,875020,1215049,,,
278087,2025CF350A1,876168,1216699,,,
12002,2025CF542A4,876834,1217782,,,
278280,2025CF585A1,877006,1218039,,,
278288,2025CF602A1,877051,1218130,,,
278033,2025HH270A4,878150,1220072,,,
215924,2025CF1095A1,878961,1221608,,,
93921,2025CF1169A4,879221,1222057,,,
164530,2025CF1174A4,879259,1222110,,,
164530,2025CF1174A5,879259,1222111,,,
257463,2025CF1255A1,879647,1222728,,,
269073,2023CF189B27,850205,1224283,,,
228429,2025CF1608A1,880892,1224733,,,
277689,2025CF1698A9,881234,1225285,,,
277689,2025CF1698A11,881234,1225299,,,
277689,2025CF1698A14,881234,1225301,,,
277689,2025CF1698A24,881234,1225307,,,
277689,2025CF1698A26,881234,1225309,,,
277689,2025CF1698A32,881234,1225312,,,
220723,2025CF1777A1,881513,1225834,,,
252519,2025CF1893A1,881915,1226459,,,
190014,2025CF1969A3,882249,1227012,,,
279313,2025CF1921A2,882035,1227137,,,
279418,2025CF2056A1,882555,1227438,,,
264168,2025CF2117A1,882798,1227798,,,
8027,2025CF2147A1,882932,1228008,,,
168810,2025CF2292A4,883677,1229019,,,
168810,2025CF2292A5,883677,1229020,,,
278335,2025CF1728C2,883731,1229073,,,
278225,2025CF2307A1,883739,1229082,,,
272384,2025CF2392A2,884451,1229568,,,
271529,2025CF2395A1,884465,1229575,,,
238833,2025CF2481A8,886152,1230055,,,
28224,2025CF2556A3,886601,1230630,,,
279841,2025CF2560A3,886642,1230667,,,
266676,2025CF2563A2,886647,1230680,,,
234115,2025CF2712A1,887235,1231586,,,
252306,2025CF2805A28,887558,1232234,,,
252306,2025CF2805A22,887558,1232245,,,
128932,2025CF2910A2,887937,1232840,,,
241974,2025CF2917A1,887954,1232875,,,
242954,2025CF2934A6,887999,1232959,,,
242954,2025CF2934A13,887999,1232965,,,
216929,2025CF2991A1,888270,1233371,,,
252306,2025CF2805A2,887558,1233791,,,
277135,2025CF3087A1,888615,1233972,,,
280559,2025CF3417A5,889989,1236061,,,
80770,2026CF38A2,890524,1236824,,,
276577,2026CF90A1,890692,1237108,,,
242954,2026CF150A26,890867,1237477,,,
242954,2026CF150A30,890867,1237481,,,
242954,2026CF150A37,890867,1237488,,,
242954,2026CF150A40,890867,1237491,,,
242954,2026CF150A49,890867,1237500,,,
22816,2026CF163A1,890931,1237860,,,
186809,2026CF167A3,890946,1237879,,,
186809,2026CF167A4,890946,1237881,,,
274666,2026CF187A2,891003,1237998,,,
277986,2026CF293A4,891393,1238598,,,
272384,2025CF2614B2,891740,1239114,,,
262983,2026CF404A1,891776,1239178,,,
171120,2026HH169A4,892176,1239837,,,
220657,2026CF578A1,892430,1240285,,,
280676,2026CF610A4,892561,1240486,,,
214880,2026CF613A3,892570,1240502,,,
257246,2026CF621A2,892604,1240552,,,
257246,2026CF621A4,892604,1240554,,,
138444,2026CF645A2,892673,1240657,,,
280192,2025CF2974A7,888204,1240882,,,
280192,2025CF2974A11,888204,1240886,,,
280192,2025CF2974A12,888204,1240887,,,
280192,2025CF2974A17,888204,1240892,,,
89966,2026HH230A1,892945,1241078,,,
170505,2026CF753A3,893129,1241392,,,
157189,2026CF769A2,893200,1241491,,,
281260,2026CF790A2,893245,1241592,,,
168097,2026CF834A4,893413,1241820,,,
168097,2026CF834A8,893413,1241826,,,
259456,2026MM629A1,893610,1242763,,,
255598,2026CF948A4,893793,1243033,,,
269574,2026CF978A2,893947,1243253,,,
183114,2026CF1011A2,894064,1243436,,,
281472,2026CF1037A1,894124,1243548,,,
281472,2026CF1037A2,894124,1243549,,,
277412,2026CF1062A2,894200,1243685,,,
281388,2026CF1123A6,894406,1244034,,,
281545,2026CF1124A1,894408,1244040,,,
240534,2026HH370A1,894573,1244259,,,
95361,2026CF1200A2,894728,1244495,,,
144873,2026HH396A1,894767,1244553,,,
281649,2026CF1240A1,894893,1244700,,,
238689,2026HH411A2,894926,1244745,,,
231156,2026CF1277A7,895009,1244879,,,
239703,2026HH435A1,895151,1245079,,,
269574,2026CF1319A7,895166,1245110,,,
269574,2026CF1319A9,895166,1245112,,,
269574,2026CF1319A10,895166,1245113,,,
269574,2026CF1319A21,895166,1245124,,,
253292,2026CF1342A1,895244,1245248,,,
208784,2026CF1372A4,895353,1245411,,,
74618,2026MM954A1,895395,1245487,,,
198368,2026CF1412A2,895525,1245639,,,
198368,2026CF1414A3,895533,1245658,,,
281377,2026CF913B7,895727,1245927,,,
253996,2026CF1464A2,895733,1245945,,,
123605,2026CF1529A1,895912,1246294,,,
281836,2026CF1532A4,895917,1246306,,,
273326,2026CF1545A1,895981,1246400,,,
275318,2026CF1547A2,895987,1246412,,,
278590,2026CF1550A2,896004,1246447,,,
271776,2026CF1552A2,896025,1246467,,,
241151,2026CF1562A2,896040,1246488,,,
277892,2026CF1563A1,896041,1246489,,,
281836,2026CF1566A11,896044,1246507,,,
258245,2026CF1599A3,896172,1246744,,,
223041,2026MM1119A1,896276,1246886,,,
281962,2026CF1702A1,896725,1247400,,,
185511,2026CF1722A1,896792,1247479,,,
204370,2026CF1755A4,896913,1247650,,,
204370,2026CF1755A5,896913,1247651,,,
122427,2026CF1762A2,896932,1247683,,,
155548,2026CF1770A1,896968,1247732,,,
267980,2026CF1780A1,896987,1247767,,,
239145,2026CF1799A1,897041,1247866,,,
239145,2026CF1799A3,897041,1247868,,,
274162,2026CF1815A5,897239,1248160,,,
274162,2026CF1815A9,897239,1248164,,,
274162,2026CF1815A12,897239,1248167,,,
274162,2026CF1815A13,897239,1248168,,,
274162,2026CF1815A20,897239,1248175,,,
274162,2026CF1815A34,897239,1248189,,,
274162,2026CF1815A38,897239,1248193,,,
274162,2026CF1815A59,897239,1248214,,,
274162,2026CF1815A62,897239,1248217,,,
274162,2026CF1815A71,897239,1248226,,,
274162,2026CF1815A72,897239,1248227,,,
269525,2026CF1828A3,897270,1248284,,,
234698,2026CF1860A7,897396,1248515,,,
129933,2026CF1875A2,897459,1248632,,,
246003,2026CF1898A1,897597,1248762,,,
264676,2026CF1901A3,897619,1248798,,,
264490,2026HH664A1,897840,1249534,,,
256508,2026MM1369A1,897866,1249564,,,
197351,2026CF1952A2,897939,1249694,,,
281650,2026MM1405A2,898023,1249800,,,
271881,2026CF2176A1,899023,1251381,,,
176259,2005CF3322A3,419257,567909,,,
95526,2010CF183A1,535717,732099,,,
242482,2015CF3115A4,707680,962703,,,
222105,2019CF752A1,784717,1074767,,,
208784,2019CF2291A1,790070,1083943,,,
264693,2020CF2669A1,809980,1114573,,,
255333,2020CF2070C1,816230,1125002,,,
266127,2021CF963A2,818424,1128657,,,
237194,2022CF33A1,831307,1146938,,,
249469,2022CF156A1,831705,1147591,,,
163185,2022CF1412A2,836155,1154514,,,
261226,2022CF2314A2,839282,1159330,,,
270565,2022CF2602A1,840336,1161103,,,
270565,2022CF2602A2,840336,1161106,,,
163850,2022CF2904A1,841454,1162879,,,
260977,2023CF359A4,846683,1170914,,,
270863,2023HH214A1,847832,1172689,,,
271076,2023CF189C27,850208,1176150,,,
271076,2023CF189C22,850208,1176151,,,
201666,2023CF1228A1,850433,1176632,,,
273833,2023CF2508A2,856642,1185648,,,
197007,2023CF2724A2,857460,1186850,,,
274411,2023CF3179A2,859116,1189479,,,
274548,2023CF3348A2,859852,1190486,,,
138617,2023CF3376A1,860017,1190747,,,
226823,2023CF3375A4,860012,1191888,,,
243957,2023CF3661A1,860985,1192323,,,
275071,2024CF350A1,862409,1194548,,,
