CJIS_SPN,CJIS_CASE_NUMBER,CASE_DEFENDANT_ID,CHARGE_ID,OLD_STATUS,OLD_LOCATION,OLD_BOND_AMT
98344,2009CF2608A2,525654,716641,D,RLSDTS,
98344,2009CF2608A3,525654,716643,D,RLSDNP,
98344,2012CF3253A1,609225,833928,D,OTJA,
220657,2012CF346A1,579774,798530,D,RLSDNP,
202776,2013CF1494A2,635398,865521,D,STPR,
98344,2014CF1634A8,673105,931231,D,RLSDNP,
98344,2014CF1642A2,673164,914579,D,CLRK,25000
195946,2014CF2855A5,680594,924530,D,RLSDNP,
129933,2015CF3330A1,709475,964830,D,RLSDPT,
247257,2016CF3063A2,733564,997979,R,LCJ,
200615,2017CF1706A2,745225,1016488,D,CLRK,
247369,2019CF2005A2,789113,1082476,V,LCJ,
247369,2019CF3381A2,794120,1090280,V,LCJ,
260934,2019CF3657A1,795286,1092004,O,LCJ,2500
260934,2019CF3657A2,795286,1092005,O,LCJ,2500
260977,2019CF3839A4,796019,1093216,D,RLSDNI,
262373,2019CF4221A1,797475,1095793,V,LCJ,
258569,2020CF1411B1,821036,1132573,O,LCJ,
170792,2020CF1766A7,807372,1108405,D,RLSDNI,
260795,2021CF167A2,815388,1123851,D,RLSDPB,
265688,2021CF451A2,816525,1125457,R,LCJ,
241406,2022CF1031A3,834946,1152562,D,LCJ,
232816,2022CF1599A6,836807,1158029,D,LCJ,
260690,2022CF1982A8,838064,1157428,D,RLSDNG,
269220,2022CF856A2,834312,1151624,O,LCJ,
220657,2023CF1041A1,849577,1175082,V,LCJ,
272689,2023CF1137A3,850058,1175795,D,CLRK,1000
272689,2023CF1137A4,850058,1175796,D,CLRK,500
94930,2023CF1295A1,850633,1177044,D,LCJ,
273126,2023CF1648A2,852242,1179367,R,LCJ,
272689,2023CF189E38,850215,1176262,O,LCJ,1000
272689,2023CF189E40,850215,1176264,O,LCJ,2500
114542,2023CF1929A2,853822,1181790,V,LCJ,
269073,2023CF196A19,846051,1169874,D,CLRK,500
269073,2023CF196A3,846051,1169858,D,CLRK,1000
273890,2023CF2547A7,856893,1187442,O,LCJ,25000
272315,2023CF722A1,847955,1172846,D,LCJ,
258701,2023CT774A1,850131,1175931,D,CLRK,
114542,2023HH670A1,855421,1184039,D,OTJA,
275648,2024CF100C3,866694,1201245,R,LCJ,15000
275777,2024CF1193A2,865770,1199594,R,LCJ,
