CJIS_SPN,CJIS_CASE_NUMBER,CASE_DEFENDANT_ID,CHARGE_ID,OLD_STATUS,OLD_LOCATION,OLD_BOND_AMT
98344,2009CF2608A2,525654,716641,D,RLSDTS,
98344,2009CF2608A3,525654,716643,D,RLSDNP,
98344,2012CF3253A1,609225,833928,D,OTJA,
202776,2013CF1494A2,635398,865521,D,STPR,
98344,2014CF1634A8,673105,931231,D,RLSDNP,
247257,2016CF3063A2,733564,997979,R,LCJ,
247369,2019CF2005A2,789113,1082476,V,LCJ,
247369,2019CF3381A2,794120,1090280,V,LCJ,
260934,2019CF3657A1,795286,1092004,O,LCJ,2500
260934,2019CF3657A2,795286,1092005,O,LCJ,2500
260977,2019CF3839A4,796019,1093216,D,RLSDNI,
262373,2019CF4221A1,797475,1095793,V,LCJ,
258569,2020CF1411B1,821036,1132573,O,LCJ,
170792,2020CF1766A7,807372,1108405,D,RLSDNI,
232816,2022CF1599A6,836807,1158029,D,LCJ,
260690,2022CF1982A8,838064,1157428,D,RLSDNG,
269220,2022CF856A2,834312,1151624,O,LCJ,
220657,2023CF1041A1,849577,1175082,V,LCJ,
272689,2023CF1137A3,850058,1175795,D,CLRK,1000
272689,2023CF1137A4,850058,1175796,D,CLRK,500
273126,2023CF1648A2,852242,1179367,R,LCJ,
272689,2023CF189E38,850215,1176262,O,LCJ,1000
272689,2023CF189E40,850215,1176264,O,LCJ,2500
269073,2023CF196A19,846051,1169874,D,CLRK,500
269073,2023CF196A3,846051,1169858,D,CLRK,1000
273890,2023CF2547A7,856893,1187442,O,LCJ,25000
272315,2023CF722A1,847955,1172846,D,LCJ,
258701,2023CT774A1,850131,1175931,D,CLRK,
114542,2023HH670A1,855421,1184039,D,OTJA,
275648,2024CF100C3,866694,1201245,R,LCJ,15000
225002,2024CF1764B2,868437,1204001,R,LCJ,25000
235826,2024CF1764C2,868438,1204004,R,LCJ,25000
225002,2024CF1774A2,867720,1203012,D,CLRK,25000
243957,2024CF1806A1,867821,1203168,R,LCJ,
261795,2024CF2014A1,868628,1204327,D,CLRK,
277235,2024CF3031A3,872471,1210734,D,CLRK,2500
198564,2024CF3244A1,873244,1212170,R,LCJ,
243798,2024CF3430A9,874016,1213495,D,RLSDNI,
261342,2024CF3432A1,874025,1213516,D,LCJ,
277589,2024CF3439A3,874038,1213536,D,RLSDNI,
276370,2025CF1302A1,879788,1222947,D,LCJ,
