CJIS_SPN,CJIS_CASE_NUMBER,CASE_DEFENDANT_ID,CHARGE_ID,OLD_STATUS,OLD_LOCATION,OLD_BOND_AMT
114542,2023CF1929A3,853822,1181791,,,
46065,2023CF2203A1,855061,1183500,,,
274292,2023CF3047B2,859420,1189882,,,
274292,2025CF2074A1,882634,1228290,,,
254513,2025CF229A1,875621,1215995,,,
273319,2025CF2306A1,883737,1229080,,,
280478,2025CF3310A1,889513,1235281,,,
193696,2025CF631A1,877164,1218305,,,
281568,2026CF1150A4,894524,1244194,,,
246823,2026CF1168A2,894604,1244309,,,
280624,2026CF1367A1,895346,1245397,,,
237549,2026CF1781A9,896988,1247777,,,
276840,2026CF1874A11,897436,1248604,,,
281001,2026CF3731A5,901675,1252449,,,
212620,2026CF631A1,892637,1240602,,,
275940,2026CF935A1,893768,1242975,,,
174547,2026MM1112A1,896242,1246845,,,
281121,2026MM451A2,892478,1240371,,,
280527,2026MM81A1,890768,1237238,,,
114542,2023CF1929A1,853822,1181786,,,
215790,2025CF1565A1,880702,1224424,,,
281568,2026CF1150A3,894524,1244197,,,
192786,2026CF1694A2,896698,1247362,,,
281974,2026CF1731A1,896804,1247500,,,
237549,2026CF1781A1,896988,1247769,,,
264348,2026CF147A1,890864,1237447,,,
276840,2026CF1874A10,897436,1248601,,,
276840,2026CF1874A7,897436,1248598,,,
104025,2026CF3729A1,901673,1252434,,,
281457,2026CF3730A1,901674,1252440,,,
281457,2026CF3730A4,901674,1252443,,,
281001,2026CF3731A2,901675,1252446,,,
252876,2026MM1627A1,899395,1251948,,,
265643,2026MM1839A1,900192,1252112,,,
281121,2026MM451A1,892478,1240370,,,
280576,2025MM2334A1,890053,1236153,,,
264042,2026CF1709A1,896737,1247417,,,
276840,2026CF1874A3,897436,1248603,,,
281001,2026CF3731A6,901675,1252450,,,
280007,2026CT1191A2,899589,1252768,,,
83278,2026CF1865A1,897415,1248548,,,
265643,2026MM1839A2,900192,1252111,,,
250602,2019CF3451A1,794325,1090593,,,
114542,2023CF1929A4,853822,1181792,,,
275777,2024CF1193A2,865770,1199594,,,
208271,2024CF1641A1,867268,1202181,,,
235667,2025CF1593A1,880815,1224599,,,
274292,2025CF2074A2,882634,1227569,,,
243404,2025CF3325A2,889554,1235350,,,
246823,2026CF1168A1,894604,1244308,,,
264247,2026CF1274A1,895005,1244868,,,
269833,2026CF1648A1,896356,1246988,,,
269833,2026CF1648A3,896356,1246986,,,
237549,2026CF1781A4,896988,1247772,,,
114542,2026CF1850A5,897366,1248469,,,
276840,2026CF1874A1,897436,1248594,,,
276840,2026CF1874A12,897436,1248605,,,
276840,2026CF1874A2,897436,1248602,,,
276840,2026CF1874A9,897436,1248600,,,
266112,2026CF1968A1,898021,1249796,,,
154159,2026CF2033A5,898375,1252460,,,
104025,2026CF3729A2,901673,1252435,,,
104025,2026CF3729A3,901673,1252436,,,
281457,2026CF3730A3,901674,1252442,,,
281001,2026CF3731A1,901675,1252445,,,
281001,2026CF3731A4,901675,1252448,,,
178595,2026CF473A2,892011,1239547,,,
233068,2026MM1088A1,896105,1246670,,,
248381,2019DR48A1,889702,1235578,,,
260795,2021CF1080A1,818972,1129647,,,
206155,2023CF1158A1,850172,1176049,,,
206155,2023CF1158A3,850172,1176052,,,
227066,2024CF2054A1,868752,1204976,,,
174510,2024CF3236A1,873202,1212115,,,
43977,2024CF3601A2,874602,1214391,,,
235667,2025CF1593A2,880815,1224600,,,
78646,2025CF2054A1,882552,1227434,,,
216574,2025CF2365A1,883951,1229450,,,
280748,2026CF150C7,890877,1237576,,,
235695,2026CF1531A2,895916,1246302,,,
269833,2026CF1648A2,896356,1246987,,,
264042,2026CF1709A2,896737,1247418,,,
281713,2026CF1346A1,895250,1245256,,,
237549,2026CF1781A2,896988,1247770,,,
114542,2026CF1850A2,897366,1248470,,,
114542,2026CF1850A3,897366,1248472,,,
104025,2026CF3729A5,901673,1252438,,,
133579,2026CF925A1,893712,1242915,,,
276840,2026CF984A2,893958,1243277,,,
280007,2026CT454A1,893717,1242924,,,
278580,2026MM2139A1,901974,1252853,,,
280527,2026MM81A2,890768,1237239,,,
98344,2009CF2608A2,525654,716641,,,
241382,2019CF1552A1,787545,1079500,,,
273559,2023CF2192A1,854994,1183419,,,
274292,2023CF3047B1,859420,1189881,,,
240234,2024CF2331A1,869653,1206433,,,
264247,2025CF770A1,877610,1219047,,,
281568,2026CF1150A2,894524,1244196,,,
192786,2026CF1694A1,896698,1247361,,,
237549,2026CF1781A11,896988,1247779,,,
237549,2026CF1781A12,896988,1247780,,,
237549,2026CF1781A8,896988,1247776,,,
114542,2026CF1850A1,897366,1248468,,,
114542,2026CF1850A4,897366,1248471,,,
276840,2026CF1874A6,897436,1248597,,,
281457,2026CF3730A5,901674,1252444,,,
281001,2026CF3731A3,901675,1252447,,,
276840,2026CF984A1,893958,1243276,,,
143359,2026MM1220A1,896960,1247721,,,
280700,2026MM52A1,890624,1236987,,,
247257,2016CF3063A1,733564,997980,,,
206155,2023CF1158A2,850172,1176050,,,
114542,2023CF1929A10,853822,1181788,,,
114542,2023CF1929A2,853822,1181790,,,
276184,2024CF1780A1,867733,1203031,,,
274292,2024CF300A1,862212,1194221,,,
235667,2025CF1593A3,880815,1224601,,,
264247,2025CF2599A1,886821,1230895,,,
280168,2025CF2946A1,888107,1233093,,,
264247,2025CF407A1,876473,1217214,,,
231314,2025MM1056A1,880833,1224627,,,
281568,2026CF1150A1,894524,1244193,,,
281568,2026CF1150A5,894524,1244195,,,
214849,2026CF1177A1,894617,1244326,,,
185130,2026CF1629A1,896303,1246906,,,
269833,2026CF1648A4,896356,1246985,,,
237549,2026CF1781A10,896988,1247778,,,
276840,2026CF1874A5,897436,1248596,,,
15517,2026CF92A1,890697,1237113,,,
206155,2023CF1158A4,850172,1176051,,,
280513,2025CF3350A1,889740,1235628,,,
274292,2025CF3482A1,890191,1236361,,,
279077,2025MM1069A1,880933,1224835,,,
237549,2026CF1781A3,896988,1247771,,,
237549,2026CF1781A5,896988,1247773,,,
237549,2026CF1781A6,896988,1247774,,,
237549,2026CF1781A7,896988,1247775,,,
276840,2026CF1874A4,897436,1248595,,,
276840,2026CF1874A8,897436,1248599,,,
184537,2026CF2264A1,899406,1251960,,,
104025,2026CF3729A4,901673,1252437,,,
104025,2026CF3729A6,901673,1252439,,,
208949,2026CF799A4,893282,1249777,,,
