CJIS_SPN,CJIS_CASE_NUMBER,CASE_DEFENDANT_ID,CHARGE_ID,OLD_STATUS,OLD_LOCATION,OLD_BOND_AMT
136313,2006CF1441A14,435389,590821,D,CLRK,
136313,2006CF1441A15,435389,590822,D,CLRK,
136313,2006CF1441A16,435389,590823,D,CLRK,
136313,2006CF1441A2,435389,590809,D,CLRK,
136313,2006CF1441A8,435389,590815,D,RLSDTS,
136313,2006CF1441A9,435389,590816,D,RLSDTS,
9072,2006CF1959A1,438034,594614,D,STPR,
9072,2006CF1959A3,438034,594616,D,CLRK,
145539,2006CF2362A1,440375,598020,D,STPR,
162582,2006CF3162A1,444675,604078,D,RLSDNI,
162582,2006CF3162A2,444675,604079,D,RLSDNI,
187821,2006CF4646A1,453351,616737,D,CLRK,
136313,2006CT1367A1,434028,588734,D,CLRK,
138047,2006MM6272A1,446992,607476,D,RLSDPT,
138047,2006MM6272A2,446992,607477,D,RLSDPT,
138047,2006MM6272A3,446992,607478,D,RLSDPT,
138047,2006MM6272A4,446992,607479,D,RLSDPT,
145539,2006MM7579A1,450281,612404,D,BOND,
59896,2007CF1916A2,468147,637139,D,RLSDTS,
59896,2007CF1916A3,468147,637136,D,RLSDNI,
59896,2007CF1916A5,468147,637140,D,RLSDNI,
64646,2007CF4015A1,481120,654695,D,RLSDPT,
136313,2007CT4207A1,481068,654607,D,RLSDTS,
136313,2007CT4207A3,481068,654609,D,RLSDTS,
136313,2007CT4207A4,481068,654610,D,RLSDTS,
136313,2007CT4207A5,481068,654611,D,RLSDTS,
136313,2007CT4207A6,481068,654612,D,RLSDNI,
64646,2008CF1816A1,497425,675736,D,CLRK,
138047,2008CF2983A1,502935,683660,D,STPR,
138047,2008CF2983A2,502935,683663,D,STPR,
138047,2008CF2983A3,502935,683664,D,CLRK,
138047,2008CF2983A4,502935,683662,D,CLRK,
138047,2008CF2983A5,502935,683659,D,CLRK,
138047,2008CF2983A6,502935,683661,D,CLRK,
201661,2008CF3753A1,507153,689716,D,STPR,
201661,2008CF3753A2,507153,689717,D,STPR,
199686,2008MM3938A1,500848,680578,D,RLSDTS,
121339,2009CF1236A1,518330,705442,D,CLRK,
121339,2009CF1236A2,518330,705443,D,CLRK,
121339,2009CF725A1,515273,701124,D,OTJA,
121339,2009CF725A2,515273,701125,D,CLRK,
187821,2010CF1334B1,542580,741518,D,CLRK,
187821,2010CF1334B2,542580,741519,D,CLRK,
187821,2010CF1335A1,541933,740674,D,CLRK,10000
187821,2010CF1335A2,541933,740675,D,CLRK,2500
61516,2010CF1472A1,542717,741690,D,CLRK,1500
59896,2010CF3410A1,552344,756823,D,CLRK,
195443,2010CT1477A1,541139,739439,D,CLRK,
148409,2011CF3720A1,576846,794079,D,RLSDPT,
148409,2011CF3720A4,576846,794078,D,CLRK,
217339,2011CF886A1,560796,771242,D,STPR,
136313,2011MM2320A1,564183,776337,D,CLRK,
148409,2011MM5340A1,576621,793731,D,CLRK,
65121,2012CF1202A1,586847,807938,D,RLSDTS,
65121,2012CF3320A1,609944,834805,D,RLSDTS,
59896,2012CF510A2,580577,799765,D,RLSDNI,
201661,2012MM3226A1,601392,824998,D,RLSDTS,
212395,2013MM1358A2,632560,861373,D,RLSDPB,
201661,2014CF1179A1,668598,908956,D,STPR,
201661,2014CF1179A2,668598,908957,D,STPR,
201661,2014CF1811A1,673964,915644,D,STPR,
201661,2014CF1811A2,673964,915646,D,RLSDTS,
201661,2014CF1811A3,673964,915645,D,STPR,
236045,2014CF3333A1,683635,929239,D,STPR,
217339,2014CF3575A2,685062,931211,D,STPR,
217339,2014CF3575A3,685062,931209,D,RLSDNI,
145539,2014MM1731A2,673460,915006,D,RLSDPT,
145539,2014MM1731A4,673460,915008,D,RLSDPT,
201661,2014MM2A1,653361,890265,D,RLSDTS,
236045,2015CF1088A1,692877,942005,D,STPR,
236045,2015CF1088A2,692877,942006,D,STPR,
236045,2015CF1799A1,698000,949409,D,STPR,
236045,2015CF1799A2,698000,949410,D,STPR,
150898,2015CF2136A1,700772,952737,D,RLSDTS,
243287,2015CF3742A3,714655,970711,D,RLSDPT,
243287,2015CF3742A5,714655,970713,D,CLRK,
195443,2015CF428A1,688976,936695,D,CLRK,10000
195443,2015CF428A2,688976,936696,D,CLRK,5000
195443,2015CF428A4,688976,936698,D,CLRK,5000
195443,2015CF428A5,688976,936699,D,CLRK,5000
195443,2015CF428A6,688976,936700,D,CLRK,5000
195443,2015CF428A7,688976,936701,D,CLRK,5000
59896,2015CF777A1,690804,939332,D,STPR,
233581,2015CT2146A1,705555,959530,D,RLSDPT,
241790,2015MM2308A1,703956,957331,D,CLRK,
61516,2015MM2792A1,706836,961592,D,CLRK,
61516,2015MM2792A2,706836,961591,D,RLSDTS,
238752,2015MM3260A2,710566,966179,D,RLSDTS,
236045,2015MM433A2,689244,937166,D,CLRK,
150898,2016CF1152A1,724261,984150,D,STPR,
199686,2016CF1431A1,726683,987131,D,CLRK,
199686,2016CF1431A2,726683,987132,D,CLRK,
199686,2016CF1431A3,726683,987133,D,CLRK,
199686,2016CF1431A4,726683,987134,D,CLRK,
