CJIS_SPN,CJIS_CASE_NUMBER,CASE_DEFENDANT_ID,CHARGE_ID,OLD_STATUS,OLD_LOCATION,OLD_BOND_AMT
105906,1999CF3321A2,253495,342823,D,STPR,
193982,2007CF3364A1,476803,648735,D,RLSDTS,
193982,2007CF3364A2,476803,648736,D,RLSDPB,
193982,2007CF3514A1,477874,650359,D,RLSDNP,
195946,2007MM8580A1,483713,658437,D,RLSDPT,
101471,2008CF1039A1,491404,668245,D,RLSDTS,
193982,2009CF1161A1,517916,704819,D,STPR,
193982,2009CF1161A2,517916,704820,D,RLSDTS,
105906,2009CF2189A1,523354,713422,D,CLRK,10000
105906,2009CF2189A2,523354,713423,D,CLRK,5000
101471,2009CF2455A1,524879,715502,D,CLRK,2500
101471,2009CF2455A2,524879,715503,D,CLRK,
98344,2009CF2608A1,525654,716640,D,RLSDNP,
98344,2009CF2608A2,525654,716641,D,RLSDTS,
98344,2009CF2608A3,525654,716643,D,RLSDNP,
98344,2009CF2608A4,525654,716639,D,RLSDNI,
98344,2009CF2608A5,525654,716642,D,RLSDNI,
105906,2009CF355A2,513497,698263,D,RLSDNI,
105906,2009CF3676A1,531190,725938,D,RLSDTS,
101471,2009CF4100A1,533882,729643,D,CLRK,
105906,2009MM4112A1,526178,717372,D,RLSDTS,
105906,2009MM4112A2,526178,717373,D,RLSDTS,
195946,2009MM6508A1,534065,729890,D,RLSDPT,
195946,2009MM6508A2,534065,729891,D,CLRK,
98344,2010CF1454A1,542613,741558,D,OTJA,
101471,2010MM272A1,535549,731915,D,RLSDTS,
101471,2011CF2601A1,569582,784111,D,CLRK,1000
105906,2011CF444A1,558022,767393,D,RLSDNP,
105906,2011CF444A13,558022,767401,D,RLSDNP,
105906,2011CF444A15,558022,767400,D,RLSDNP,
105906,2011CF444A16,558022,767394,D,RLSDNP,
105906,2011CF444A5,558022,767392,D,RLSDNP,
101471,2011CT3037A1,569884,784589,D,CLRK,
101471,2011HH1637A1,577169,794675,D,RLSDWD,
220932,2011MM4580A1,574066,789672,D,RLSDPT,
98344,2012CF2910A1,605627,829808,D,CLRK,
98344,2012CF3253A1,609225,833928,D,OTJA,
129452,2012CF3395A1,610872,835996,D,CLRK,
129452,2012CF3395A2,610872,835997,D,CLRK,
220657,2012CF346A1,579774,798530,D,RLSDNP,
220657,2012CF346A2,579774,798531,D,RLSDNP,
220657,2012CF3964A1,617624,844205,D,STPR,
220657,2012MM5547A1,619926,846927,D,RLSDTS,
202776,2013CF1494A1,635398,865520,D,RLSDTS,
202776,2013CF1494A2,635398,865521,D,STPR,
202776,2013CF1494A3,635398,865522,D,RLSDNP,
220657,2013CF71A1,620933,848056,D,STPR,
193982,2013HH1206A1,641972,875313,D,STPR,
98344,2014CF1642A1,673164,914578,D,CLRK,10000
98344,2014CF1642A2,673164,914579,D,CLRK,25000
220932,2014CT2687A1,684003,929708,D,RLSDTS,
129933,2015CF3330A1,709475,964830,D,RLSDPT,
242948,2015CF3490A2,711024,971410,D,RLSDPB,
242948,2015CF3490A3,711024,971411,D,RLSDPB,
236300,2016CF161A2,717481,974491,D,STPR,
236300,2016CF161A3,717481,974490,D,STPR,
236300,2016CF161A4,717481,974489,D,STPR,
236300,2016CF161A5,717481,974493,D,RLSDNI,
245023,2016CT947A1,724401,984315,D,RLSDTS,
200615,2017CF1706A1,745225,1016487,D,CLRK,
200615,2017CF1706A2,745225,1016488,D,CLRK,
98344,2017CF2249A3,748675,1021324,D,RLSDTS,
98344,2017CF788A1,740483,1009635,D,RLSDTS,
236398,2017HH210A1,739060,1007514,D,STPR,
195946,2017MM2505A1,751252,1025120,D,RLSDTS,
192519,2018CF1071A1,766124,1046793,D,RLSDPT,
192519,2018CF1071A2,766124,1046794,D,RLSDTS,
192519,2018CF1071A3,766124,1050075,D,RLSDPT,
192519,2018CF2868A1,775297,1060051,D,RLSDPT,
245023,2018CF3991A1,781284,1069027,D,RLSDNP,
245023,2018CF3991A2,781284,1069028,D,RLSDNP,
245023,2018CF3991A3,781284,1069029,D,RLSDTS,
244579,2018CF403A2,762566,1041540,D,LCJ,
201033,2018CF882A1,765079,1045263,D,RLSDPT,
220932,2018MM688A1,764492,1044360,D,CLRK,
260795,2019CF2647A1,791356,1085926,D,CLRK,
260795,2019CF2647A2,791356,1085925,D,CLRK,
260219,2019CF2743A1,791723,1086448,D,STPR,
260219,2019CF2854A2,792094,1087034,D,STPR,
260219,2019CF2854A3,792094,1087035,D,STPR,
260219,2019CF2854A4,792094,1087038,D,STPR,
260219,2019CF2854A5,792094,1087036,D,STPR,
260219,2019CF2854A6,792094,1087037,D,RLSDNI,
260795,2019CF2967A1,792591,1087720,D,CLRK,
260795,2019CF2967A2,792591,1087721,D,CLRK,
260795,2019CF2967A3,792591,1087723,D,CLRK,
261627,2019CF3477A1,794521,1090813,V,LCJ,
260934,2019CF3657A2,795286,1092005,O,LCJ,2500
260934,2019CF3657A3,795286,1092006,O,LCJ,2500
261883,2019CF3736A1,795565,1092437,D,CLRK,
261883,2019CF3736A2,795565,1092438,D,CLRK,
259456,2019CF3817A1,795884,1093070,V,LCJ,
259456,2019CF3817A2,795884,1093071,V,LCJ,
254002,2019CT2319A1,796132,1093409,D,RLSDTS,
251232,2019MM2731A1,795087,1091699,D,RLSDTS,
251232,2019MM2731A2,795087,1091700,D,RLSDNP,
251232,2019MM2731A3,795087,1091701,D,RLSDNP,
258701,2019MM441A1,784048,1073677,D,CLRK,
263521,2020CF1012A1,803023,1103878,D,LCJ,
258569,2020CF1365A1,804283,1106058,D,CLRK,
170792,2020CF1766A2,807372,1108403,D,STPR,
170792,2020CF1766A3,807372,1108410,D,STPR,
