CJIS_SPN,CJIS_CASE_NUMBER,CASE_DEFENDANT_ID,CHARGE_ID,OLD_STATUS,OLD_LOCATION,OLD_BOND_AMT
3179,2026CF1616A1,896232,1246822,,,
3179,2026CF1616A2,896232,1246823,,,
8027,2025CF1601A1,880855,1224671,,,
8027,2025CF2147A1,882932,1228008,,,
11163,2026MM986A1,895531,1245653,,,
11163,2026MM986A2,895531,1245652,,,
11163,2026MM986A3,895531,1245651,,,
12002,2024CF3583A1,874574,1214339,,,
12002,2024CF3583A2,874574,1214340,,,
12002,2025CF542A1,876834,1217781,,,
12002,2025CF542A2,876834,1217785,,,
12002,2025CF542A3,876834,1217783,,,
12002,2025CF542A4,876834,1217782,,,
12002,2025CF542A5,876834,1217784,,,
13119,2026CF1233A1,894822,1244646,,,
13119,2026CF1233A3,894822,1244648,,,
13119,2026CF1233A4,894822,1244647,,,
15517,2026CF92A1,890697,1237113,,,
15517,2026CF92A2,890697,1237114,,,
15942,2022CF2105A1,838460,1158051,,,
16577,2025CF1950A1,882153,1226898,,,
16577,2025CF324A1,876018,1216518,,,
17802,2025MM2268A1,889709,1235587,,,
17802,2025MM2268A2,889709,1235588,,,
17802,2025MM2268A3,889709,1235589,,,
22005,2026CF1706A1,896733,1247410,,,
22005,2026CF1706A2,896733,1247411,,,
22816,2026CF163A1,890931,1237860,,,
27008,2025CF2448A1,885891,1229859,,,
27008,2025CF2448A3,885891,1247466,,,
27008,2025CF2448A4,885891,1229861,,,
28224,2025CF2556A1,886601,1230627,,,
28224,2025CF2556A2,886601,1230628,,,
28224,2025CF2556A3,886601,1230630,,,
28224,2026CF1856A1,897380,1248492,,,
35925,2026CF2228A1,899276,1251731,,,
36551,2026CF1831A2,897277,1248294,,,
39916,2026MM1197A1,896846,1247583,,,
39916,2026MM1375A1,897894,1249616,,,
46065,2023CF2203A1,855061,1183500,,,
46065,2026CT793A1,896335,1246954,,,
46065,2026CT793A3,896335,1246957,,,
50004,2026CF1837A1,897320,1248338,,,
51758,2021CF477A1,816636,1125610,,,
51758,2023CF3399A1,860076,1190861,,,
51758,2023CF3399A2,860076,1190862,,,
51758,2023CF3399A3,860076,1190864,,,
51758,2023CF3399A4,860076,1190865,,,
54838,2025CF1923A2,882044,1226759,,,
54838,2026CF604A2,892504,1240427,,,
54838,2026CF604A3,892504,1240428,,,
56094,2019CF3419A1,794255,1090470,,,
56094,2019CF3419A2,794255,1090471,,,
57620,2026CF99A1,890724,1237148,,,
60854,2026CF937A1,893772,1242979,,,
68598,2014CF3464A1,684416,930289,,,
70003,2026CF1625A1,896271,1246876,,,
74618,2026MM954A1,895395,1245487,,,
74618,2026MM954A2,895395,1245488,,,
78646,2025CF2054A1,882552,1227434,,,
78646,2025CF2054A2,882552,1227435,,,
79502,2024CF3586A1,874581,1214353,,,
79502,2024CF3586A2,874581,1214354,,,
80770,2025CF1570A1,880713,1224441,,,
80770,2025CF1570A2,880713,1224442,,,
80770,2026CF38A1,890524,1236823,,,
80770,2026CF38A2,890524,1236824,,,
83278,2026CF1865A1,897415,1248548,,,
85807,2026CF1454A1,895712,1245897,,,
85807,2026CF1454A2,895712,1245898,,,
85807,2026CF1454A3,895712,1245899,,,
88412,2024CF1971A1,868459,1204052,,,
89966,2026HH230A1,892945,1241078,,,
93921,2025CF1169A1,879221,1222060,,,
93921,2025CF1169A2,879221,1222058,,,
93921,2025CF1169A3,879221,1222062,,,
93921,2025CF1169A4,879221,1222057,,,
93921,2025CF1169A5,879221,1222059,,,
93921,2025CF1169A6,879221,1222061,,,
95361,2026CF1200A1,894728,1244496,,,
95361,2026CF1200A2,894728,1244495,,,
95361,2026CF1200A3,894728,1244497,,,
95361,2026CF1200A4,894728,1244499,,,
95361,2026CF1200A5,894728,1244500,,,
95361,2026CF1200A6,894728,1244498,,,
95526,2010CF183A1,535717,732099,,,
95526,2010CF183A2,535717,732100,,,
95526,2026MM274A1,891760,1239143,,,
96099,2024CF2665A1,870953,1208420,,,
96099,2024CF2665A2,870953,1208421,,,
96099,2025MM1938A1,887921,1232804,,,
97496,2026CF1472A1,895753,1245986,,,
98137,2026CF936A1,893770,1242977,,,
98204,2025CF2209A1,883253,1228437,,,
98204,2025CF2209A2,883253,1228438,,,
98204,2025CF2209A3,883253,1228442,,,
98204,2025CF3105A1,888723,1234089,,,
98204,2025CF3105A2,888723,1234090,,,
98204,2025CF3105A3,888723,1234091,,,
98204,2025CF3105A4,888723,1234088,,,
101244,2024CF2862A1,871779,1209683,,,
101244,2026CF850A1,893478,1242281,,,
103283,2026HH37A1,890837,1237349,,,
103744,2026CF1276A1,895008,1244872,,,
104025,2026CF1345A1,895248,1245253,,,
104025,2026CF1345A2,895248,1245254,,,
105578,2023CF2430A1,856270,1185141,,,
105578,2023CF2430A2,856270,1185142,,,
105578,2023CF2430A3,856270,1185143,,,
105600,2022CF3055A1,842039,1163834,,,
105600,2022CF3055A2,842039,1163835,,,
105600,2022CF3055A4,842039,1163836,,,
105600,2023CF227A1,846197,1170135,,,
105964,2025CF2674A1,887094,1231370,,,
107543,2022CF1120A1,835190,1152997,,,
107543,2022CF1991A1,838099,1157495,,,
107543,2025CF3058A1,888476,1233706,,,
107543,2025CF3058A2,888476,1233707,,,
107543,2025CF3058A3,888476,1233708,,,
107543,2025CF3058A4,888476,1233709,,,
108014,2026CF1534A1,895921,1246311,,,
108014,2026CF1534A2,895921,1246312,,,
108014,2026CF1534A3,895921,1246313,,,
108014,2026CF1534A4,895921,1246314,,,
108014,2026CF1534A5,895921,1246315,,,
111613,2026CF1191A2,894683,1244431,,,
111613,2026CF1191A3,894683,1244430,,,
111613,2026CF1191A4,894683,1244429,,,
112900,2025CF764A5,877592,1225060,,,
113415,2024CF897A1,864602,1197772,,,
113415,2024CF897A2,864602,1197773,,,
114542,2023CF1929A1,853822,1181786,,,
114542,2023CF1929A10,853822,1181788,,,
114542,2023CF1929A2,853822,1181790,,,
114542,2023CF1929A3,853822,1181791,,,
114542,2023CF1929A4,853822,1181792,,,
114542,2026CF1850A1,897366,1248468,,,
114542,2026CF1850A2,897366,1248470,,,
114542,2026CF1850A3,897366,1248472,,,
114542,2026CF1850A4,897366,1248471,,,
114542,2026CF1850A5,897366,1248469,,,
114542,2026HH618A1,897368,1248475,,,
114542,2026HH618A2,897368,1248476,,,
118007,2026CF599A1,892489,1240396,,,
122427,2026CF1762A1,896932,1247682,,,
122427,2026CF1762A2,896932,1247683,,,
123084,2025CF829A1,877860,1219613,,,
123286,2026CF1852A1,897375,1248483,,,
123286,2026CF1852A2,897375,1248485,,,
123286,2026CF1852A3,897375,1248484,,,
123605,2026CF1529A1,895912,1246294,,,
125241,2024CF3570A1,874532,1214285,,,
126088,2020CF2924A1,811259,1118517,,,
126088,2020CF2924A2,811259,1118519,,,
126088,2024CF3452A1,874109,1213626,,,
126088,2024CF3452A2,874109,1213627,,,
126088,2026CF39A1,890526,1236826,,,
126088,2026CF39A2,890526,1236827,,,
126453,2023CF406A1,846838,1171144,,,
126453,2023CF406A2,846838,1171146,,,
126453,2025CF1616E5,881344,1225521,,,
127432,2025CF1982A1,882287,1227070,,,
128326,2026CF402A1,891773,1239162,,,
128326,2026CF402A10,891773,1239171,,,
128326,2026CF402A11,891773,1239172,,,
128326,2026CF402A12,891773,1239173,,,
128326,2026CF402A2,891773,1239163,,,
128326,2026CF402A3,891773,1239164,,,
128326,2026CF402A4,891773,1239165,,,
128326,2026CF402A5,891773,1239166,,,
128326,2026CF402A6,891773,1239167,,,
128326,2026CF402A7,891773,1239168,,,
128326,2026CF402A8,891773,1239169,,,
128326,2026CF402A9,891773,1239170,,,
128932,2025CF2910A2,887937,1232840,,,
129320,2022CF1854A1,837608,1156734,,,
129320,2026CF1724A1,896795,1247485,,,
129320,2026CF1724A2,896795,1247486,,,
129933,2026CF1875A1,897459,1248631,,,
129933,2026CF1875A2,897459,1248632,,,
130567,2024CF1053A1,865212,1198776,,,
130567,2025CF64A1,875020,1215047,,,
130567,2025CF64A2,875020,1215049,,,
130567,2025CF64A3,875020,1215048,,,
130567,2025CF667A1,877264,1218455,,,
130567,2025CF667A2,877264,1218457,,,
131167,2024CF2040A1,868709,1204917,,,
131167,2026CF1965A1,898015,1249788,,,
132826,2025CF2297A1,883695,1229055,,,
132826,2025CF2297A2,883695,1230716,,,
133579,2026MM1249A1,897061,1247906,,,
138444,2026CF645A1,892673,1240656,,,
138444,2026CF645A2,892673,1240657,,,
138617,2023CF3376A1,860017,1190747,,,
138617,2024CF2467A1,870132,1207191,,,
138617,2025CF1571A1,880714,1224444,,,
138617,2026CF397A1,891759,1239138,,,
138617,2026CF397A13,891759,1239142,,,
138617,2026CF397A2,891759,1239139,,,
